current_name,type,current_problem,proposed_name,proposed_policy_fields,migration_risk,classification,priority,notes
DurableAuditTrailAppendOnlyMinimal,class,Status and minimality encoded in class name,EvidenceLedger,"mutability=AppendOnly; environment=FixtureSafe; authority=None",Medium,merge,High,Keep append-only semantics and fixture safety visible in tests
DurableAuditTrailAppendOnlyCandidate,class,Candidate status encoded in name,EvidenceLedger,"mutability=AppendOnly; authority=Candidate",Medium,merge,High,Do not imply product authority
ProductLedgerPathWriterScaffoldDisabled,class,Disabled scaffold is a separate writer identity,EvidenceLedgerWriter,"writeMode=Disabled; exposure=Internal",Medium,delete_candidate_future,Medium,Future only after writer mode consolidation
ProductLedgerPathLocalTempWriterTestOnly,class,Mode and test-only status encoded in name,EvidenceLedgerWriter,"writeMode=LocalTempTestOnly; scope=LocalInternalDev",Medium,merge,High,Keep local-temp confinement
ProductLedgerPathLocalOnlyActiveWriter,class,Local active mode encoded in writer name,EvidenceLedgerWriter,"writeMode=LocalOnlyActive; scope=LocalInternalDev",High,merge,High,Keep lock hash chain checkpoint and redaction guards
ProductLedgerPathPersistedCandidateRegistry,class,Candidate policy encoded as type identity,LedgerPathPolicyRegistry,"authority=Candidate; precedence=None; exposure=Internal",Medium,merge,High,Do not activate product path by rename
ProductLedgerLocalApprovalDecisionStateStore,class,Local scope encoded in name,ApprovalDecisionStore,"scope=LocalInternalDev; exposure=Internal",Low,rename_future,High,Stable domain noun is ApprovalDecision
ProductLedgerLocalApprovalPreviewLoop,class,Preview and local status encoded in name,ApprovalDecisionPreview,"scope=LocalInternalDev; safetyLevel=PreviewOnly",Low,rename_future,Medium,Keep preview-only wording visible
ProductLedgerLocalApprovalExecutionCandidate,class,Candidate action encoded in class name,ApprovedActionCandidate,"authority=Candidate; safetyLevel=PreviewOnly",Medium,rename_future,Medium,Must not become public command handler
ProductLedgerLocalApprovedActionNoOpExecutor,class,No-op mode encoded in executor name,ApprovedActionExecutor,"scope=LocalInternalDev; safetyLevel=NoOp",Low,merge,High,No-op behavior must remain explicit
ProductLedgerLocalBoundedApprovedActionExecutor,class,Bounded mode encoded in executor name,ApprovedActionExecutor,"scope=LocalInternalDev; safetyLevel=BoundedNonDestructive",Medium,merge,High,Keep bounded local non-destructive guard
ProductLedgerLocalApprovedHandoffReportDraftExecutor,class,Handoff draft scope encoded in long name,HandoffDraftWriter,"scope=LocalInternalDev; mutability=CreateOnly",Medium,merge,High,Keep create-only draft semantics
ProductLedgerLocalWorkspaceTestJailHandoffDraftExecutor,class,Workspace jail scope encoded in name,WorkspaceDraftWriter,"scope=TestJail; mutability=CreateOnly",Medium,merge,High,Test jail must remain path-confined
ProductLedgerLocalUserWorkspaceAllowlistedHandoffDraftExecutor,class,Allowlisted workspace scope encoded in name,WorkspaceDraftWriter,"scope=WorkspaceAllowlisted; mutability=CreateOnly",High,merge,High,Do not broaden allowlist during rename
ProductLedgerLocalOperatorSurfaceLatestStateSnapshotExecutor,class,Latest-state snapshot role encoded in executor name,LatestStateEvidenceWriter,"evidenceRole=Snapshot; mutability=CreateOnly; exposure=Internal",Medium,merge,High,Keep create-only evidence behavior
ProductLedgerLocalOperatorSurfaceLatestStateManifestWriter,class,Latest-state manifest role encoded in writer name,LatestStateEvidenceWriter,"evidenceRole=Manifest; mutability=CreateOnly; exposure=Internal",Medium,merge,High,Keep manifest as evidence not authority
ProductLedgerLocalDurableLatestStateReaderCandidateValidator,class,Reader candidate and authority ambiguity encoded in name,LatestStateEvidenceValidator,"evidenceRole=ReaderCandidate; authority=Candidate; precedence=Candidate",High,merge,High,Must not become active read precedence
ProductLedgerLocalDurableLatestStateAuxiliaryEvidencePresenter,class,Negative authority and precedence encoded in name,LatestStateEvidencePresenter,"evidenceRole=Auxiliary; authority=None; precedence=None; mutability=ReadOnly",High,merge,High,Example target for policy-as-fields
ProductLedgerLocalOnlyOperatorDiagnosticsSurface,class,Local-only status encoded in surface name,OperatorSurfaceState,"scope=LocalInternalDev; exposure=Internal; panel=Diagnostics",Low,merge,Medium,Keep diagnostics under advanced/internal surface
ProductLedgerPublicUiReadOnlyDisabledPreview,class,Public and disabled preview encoded in name,OperatorSurfaceState,"exposure=PublicFutureOnly; mutability=ReadOnly; writeMode=Disabled",High,freeze_or_merge,Medium,Do not expose public UI by rename
ProductLedgerLocalDevRoutePreview,class,Dev route preview naming is implementation-facing,OperatorSurfaceRoutes,"environment=LocalDev; exposure=Internal",Medium,merge,Medium,Future aliases only after route smoke tests
ProductLedgerLocalDevRouteEndpointMapper,class,Mapper name reflects dev preview route family,OperatorSurfaceRouteMapper,"environment=LocalDev; exposure=Internal",Medium,rename_future,Medium,Current routes remain unchanged now
ProductLedgerLocalDevVisualQaEvidence,class,QA evidence status encoded in name,VisualEvidence,"environment=LocalDev; evidenceRole=Auxiliary",Low,rename_future,Low,Keep as auxiliary evidence
ProductLedgerLocalReportExportService,class,Export and local scope encoded in service name,LocalEvidenceWriter,"scope=LocalInternalDev; mutability=CreateOnly",Medium,merge,Medium,Do not broaden export path
ProductLedgerLocalLedgerTaxonomy,class,Local ledger taxonomy status encoded in name,LedgerTaxonomy,"scope=LocalInternalDev",Low,rename_future,Low,May become shared taxonomy
ProductLedgerLocalAppendOnlyHashing,class,Append-only status encoded in helper name,LedgerHashChain,"mutability=AppendOnly",Low,rename_future,High,Keep hash-chain behavior frozen
ApprovalMutationStoreDesignOnlyProtected,class,Design-only protected status encoded in name,GuardPolicy,"safetyLevel=FailClosed; mutability=Disabled",Medium,merge,Medium,Consolidate negative guards only after scan coverage
ApprovalDurableAuditTrailDesignOnlyProtected,class,Design-only durable audit status encoded in name,GuardPolicy,"safetyLevel=FailClosed; capability=DurableAuditTrail",Medium,merge,Medium,Keep as guard claim not product authority
ApprovalExecutionDesignOnlyProtected,class,Design-only execution status encoded in name,GuardPolicy,"safetyLevel=FailClosed; capability=Execution",High,merge,High,Do not enable execution by rename
PhysicalExportPolicyDesignOnlyProtected,class,Policy status encoded in name,GuardPolicy,"capability=PhysicalExport; safetyLevel=FailClosed",High,merge,Medium,External export remains blocked unless separately authorized
RedactionRetentionDeletionPolicyDesignOnlyProtected,class,Policy suffix chain encoded in name,GuardPolicy,"capability=RetentionDeletion; safetyLevel=FailClosed",Medium,merge,Medium,Do not overclaim compliance deletion
ReentryDecisionPacketReadOnly,class,Read-only status encoded in packet name,DecisionPacket,"mutability=ReadOnly; safetyLevel=PreviewOnly",Low,rename_future,Low,Keep read-only packet wording in docs
HumanReviewPacketExportReadOnlyPreview,class,Preview read-only suffix chain,HandoffPreview,"mutability=ReadOnly; safetyLevel=PreviewOnly",Low,rename_future,Low,No real export activation
SelectedCapabilityImplementationCandidatePrepReadOnly,class,Candidate preparation encoded in name,CapabilityPrepPacket,"authority=Candidate; mutability=ReadOnly",Low,rename_future,Low,Keep future implementation separate
ImplementationPlanningGateDesignOnly,class,Design-only suffix in gate name,ImplementationPlanningGate,"environment=DesignOnly; safetyLevel=FailClosed",Low,rename_future,Low,Design-only remains explicit in policy
FirstRealCapabilityCandidateScopeProposalReadOnly,class,Candidate scope proposal encoded in name,CapabilityScopeProposal,"authority=Candidate; mutability=ReadOnly",Medium,rename_future,Low,Do not imply capability launch
HumanReviewEvidenceContextLinkReadOnlyGuard,class,Read-only guard encoded in name,GuardPolicy,"capability=HumanReviewEvidenceLink; mutability=ReadOnly",Low,merge,Low,Can merge into guard taxonomy
/internal/product-ledger/approval/decision,route,Route encodes implementation step,/internal/product-ledger/approval,"action=decide; scope=LocalInternalDev",Medium,alias_future,Medium,Current route unchanged now
/internal/product-ledger/approval/state,route,Separate state route repeats approval concept,/internal/product-ledger/approval,"view=state; scope=LocalInternalDev",Medium,alias_future,Medium,Future alias only
/internal/product-ledger/approval/execute,route,Execution route name can overstate capability,/internal/product-ledger/action,"mode=no-op; scope=LocalInternalDev",High,alias_future,High,Must remain no-op unless separately authorized
/internal/product-ledger/approval/execute-bounded,route,Bounded mode encoded as route,/internal/product-ledger/action,"mode=bounded; scope=LocalInternalDev",High,alias_future,High,Must remain local non-destructive
/internal/product-ledger/approval/create-local-handoff-draft,route,Create/local/draft encoded in long route,/internal/product-ledger/handoff-draft,"scope=LocalInternalDev; mutability=CreateOnly",Medium,alias_future,Medium,Route alias after smoke coverage
/internal/product-ledger/approval/create-workspace-test-jail-handoff-draft,route,Workspace jail policy encoded in route,/internal/product-ledger/workspace-draft,"scope=TestJail; mutability=CreateOnly",High,alias_future,High,Do not broaden jail scope
/internal/product-ledger/approval/create-user-workspace-allowlisted-handoff-draft,route,Allowlist policy encoded in route,/internal/product-ledger/workspace-draft,"scope=WorkspaceAllowlisted; mutability=CreateOnly",High,alias_future,High,Keep allowlist mandatory
/internal/product-ledger/operator-surface/create-latest-state-snapshot,route,Role and action encoded in route,/internal/product-ledger/evidence/latest-state,"role=Snapshot; action=create",Medium,alias_future,Medium,No current change
/internal/product-ledger/operator-surface/create-latest-state-manifest,route,Role and action encoded in route,/internal/product-ledger/evidence/latest-state,"role=Manifest; action=create",Medium,alias_future,Medium,No current change
/internal/product-ledger/operator-surface/durable-latest-state-reader-candidate,route,Reader candidate status encoded in route,/internal/product-ledger/evidence/latest-state,"role=ReaderCandidate; mode=validate; authority=Candidate",High,alias_future,High,Must not become active precedence
/internal/product-ledger/operator-surface/durable-latest-state-auxiliary-evidence,route,Auxiliary status encoded in route,/internal/product-ledger/evidence/latest-state,"role=Auxiliary; authority=None; precedence=None",High,alias_future,High,Must remain non-authority
DurableAuditTrailAppendOnlyMinimalSafetyTests,test,Test file repeats source status chain,EvidenceLedgerSafetyTests,"mutability=AppendOnly; environment=FixtureSafe",Medium,tier_future,Medium,Retain coverage before rename
DurableAuditTrailAppendOnlyCandidateSafetyTests,test,Test file repeats source status chain,EvidenceLedgerCandidateSafetyTests,"authority=Candidate; mutability=AppendOnly",Medium,tier_future,Medium,Can become required or extended tier
ProductLedgerLocalApprovalExecutionRouteStaticScanTests,test,Static scan specific to route family,ProductLedgerStaticNoEnableScanTests,"surface=Route; capability=Action",High,merge,High,Centralize but keep no-enable coverage
ProductLedgerLocalApprovalExecutionNegativeGuardTests,test,Negative guard duplicated by feature,ProductLedgerGuardPolicyTests,"capability=ApprovedAction; safetyLevel=FailClosed",High,merge,High,Do not drop negative coverage
ProductLedgerLocalApprovalExecutionCandidateRecipeTests,test,Recipe test repeats candidate naming,ApprovedActionCandidateRecipeTests,"authority=Candidate; environment=FixtureSafe",Medium,tier_future,Medium,Tier after test governance
ProductLedgerLocalOperatorSurfaceLatestStateSnapshotBoundaryTests,test,Boundary test repeats latest-state role,LatestStateEvidenceBoundaryTests,"evidenceRole=Snapshot",Medium,merge,Medium,Merge with manifest/aux/reader cases later
ProductLedgerLocalDurableLatestStateReaderCandidateValidatorTests,test,Test name encodes reader candidate policy,LatestStateEvidenceValidatorTests,"evidenceRole=ReaderCandidate; authority=Candidate",High,merge,High,Retain authority assertion
ProductLedgerLocalDurableLatestStateAuxiliaryEvidencePresenterTests,test,Test name encodes non-authority policy,LatestStateEvidencePresenterTests,"evidenceRole=Auxiliary; authority=None; precedence=None",High,merge,High,Retain non-authority assertion
nodal-os-durable-latest-state-auxiliary-evidence-not-precedence-not-authority-*.md,docs,Doc titles mirror full policy suffix,latest-state-evidence-auxiliary.md,"evidenceRole=Auxiliary; authority=None; precedence=None",Low,archive_index_future,Low,Index before archive
nodal-os-durable-latest-state-reader-candidate-not-authority-*.md,docs,Doc titles mirror candidate authority suffix,latest-state-evidence-reader-candidate.md,"evidenceRole=ReaderCandidate; authority=Candidate",Low,archive_index_future,Low,Index before archive
external-audit-read-only micro-block docs,docs,Audit mode repeated in every filename,audit-log entry,"mode=ExternalAuditReadOnly; scope=Block",Low,compact_future,Medium,Use rolling log unless reusable packet needed
static no-enable guard docs,docs,Negative capability repeated across docs,guard-policy-static-scan.md,"safetyLevel=FailClosed; antiCapabilities=list",Low,compact_future,Medium,Keep one canonical guard policy
